File,Original Document Type,Detected Document Type,Classification Status
3522752.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3522827.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3522886.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3522898.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3522988.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3523054.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3523070.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3523831.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3523860.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3523889.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3524021.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3524059.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3524087.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3524094.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3524678.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3525371.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3525840.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526156.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526216.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526260.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526377.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526409.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526446.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526473.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3526474.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3527170.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3527229.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3527314.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3527319.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3527492.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3528112.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3528114.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3528589.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3528594.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3528645.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3528672.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3529357.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3529381.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3529405.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3529809.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3529836.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3530056.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3530131.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3530132.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3530873.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3530979.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3531073.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3531082.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3531185.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3532140.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3532218.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3532696.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3532986.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3533030.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3533200.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3533201.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3533280.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3533765.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3534238.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3534250.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3534461.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3534486.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3534515.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3535352.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3535366.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3535451.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3535644.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3535656.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3536525.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3536550.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3536714.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3536721.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537137.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537735.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537817.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537860.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537861.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537927.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3537967.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538036.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538700.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538822.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538842.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538897.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538910.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3538925.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3540383.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3540390.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3540404.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3540489.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3540549.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3540616.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541089.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541522.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541530.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541570.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541616.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541824.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3541829.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542111.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542182.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542190.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542695.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542717.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542817.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542840.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3542980.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3543612.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3543808.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3543837.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3543879.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3543901.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3543916.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3544549.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3544664.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3544770.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3544825.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3544927.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3545111.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3545353.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3545414.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3545444.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3546055.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3546211.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3546661.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3547200.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3547226.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3547265.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3547343.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3547508.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548396.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548441.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548475.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548535.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548717.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548718.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548723.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3548819.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549023.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549434.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549491.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549710.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549729.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549798.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3549805.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3550580.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3550594.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3550624.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3550941.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3551240.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3551835.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552218.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552220.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552225.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552230.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552232.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552239.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552242.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552250.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552254.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552257.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552263.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552265.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552270.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552311.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552319.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552321.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552322.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552324.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552821.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552832.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552912.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552913.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3552975.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553086.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553104.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553145.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553232.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553244.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553500.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553857.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553866.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553889.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553973.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553976.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553982.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553992.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3553997.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554080.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554094.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554177.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554744.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554939.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554942.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3554961.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555214.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555237.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555253.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555281.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555313.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555330.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555340.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555389.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555391.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555520.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555526.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3555540.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556162.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556241.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556415.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556439.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556449.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556509.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556590.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556642.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3556901.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3557079.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3557638.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3557667.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3557959.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3558493.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3558694.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3558888.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3558899.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3558906.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3558960.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3559864.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3559910.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3559923.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560085.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560092.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560254.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560481.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560500.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560588.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560845.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560899.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560922.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560932.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3560948.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3561089.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3561097.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3561102.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3561174.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3561188.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3561216.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562146.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562441.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562531.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562557.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562559.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562597.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562624.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562721.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562790.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562799.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562837.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562848.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3562873.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3563144.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3563197.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3563285.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3563810.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564167.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564172.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564711.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564757.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564922.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564928.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564929.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564939.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564942.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564948.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3564953.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565032.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565100.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565109.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565115.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565125.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565147.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565165.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565421.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565443.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565496.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565500.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3565978.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3566048.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3566124.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3566410.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3567607.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3567702.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3567762.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3567815.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3567819.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3568447.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3568454.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3569629.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3569662.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3569673.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3569685.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3569911.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3570130.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3570190.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3571205.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3571576.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3571660.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3571719.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3572691.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3572837.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3572898.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3573001.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3573758.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3573783.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3573907.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3573936.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3573995.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3574061.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3574117.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3575415.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3575707.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3575777.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3576634.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3576672.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3576760.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3576819.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3576841.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3576984.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577010.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577067.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577076.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577322.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577371.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577378.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3577436.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3578030.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3578693.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3578954.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579074.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579124.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579247.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579320.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579487.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579502.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579557.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3579579.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580004.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580005.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580121.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580211.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580241.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580262.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580264.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580293.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3580980.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3581901.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3582178.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3582324.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3582383.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3582426.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3583037.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3583508.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3583512.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3583535.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3583576.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3584045.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3584058.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3584417.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3584583.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3585702.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3585709.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3585840.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3586916.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3587086.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3587091.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3587095.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3587113.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3587612.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3587821.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3588333.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3588805.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3589405.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3589426.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3589705.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3590149.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3590464.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3590638.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3590647.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3591030.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3591117.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3592106.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3592214.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3592304.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3592379.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3592637.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3593032.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3593122.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3593135.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3593147.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
3593270.txt ,DME-CMN-For ,DME-CMN-FormTextFile ,success
